足を引っ張る　　　　　　　　　　　　　　あしをひっぱる　　　　　　　　　　　　　,D R.  N  ,
足を踏み入れる　　　　　　　　　　　　　あしをふみいれる　　　　　　　　　　　　,D 1.     ,
足を踏み込む　　　　　　　　　　　　　　あしをふみこむ　　　　　　　　　　　　　,D M.     ,
足を乱す　　　　　　　　　　　　　　　　あしをみだす　　　　　　　　　　　　　　,D S.  N  ,
味を見る　　　　　　　　　　　　　　　　あじをみる　　　　　　　　　　　　　　　,D 1.   I ,
足を向ける　　　　　　　　　　　　　　　あしをむける　　　　　　　　　　　　　　,D 1.   I ,
足を休める　　　　　　　　　　　　　　　あしをやすめる　　　　　　　　　　　　　,D 1.   I ,
味をやる　　　　　　　　　　　　　　　　あじをやる　　　　　　　　　　　　　　　,D R.     ,
あずかって力がある　　　　　　　　　　　あずかってちからがある　　　　　　　　　,D R.   M ,
明日のことを言えば鬼が笑う　　　　　　　あすのことをいえばおにがわらう　　　　　,D W.     ,
汗が流れる　　　　　　　　　　　　　　　あせがながれる　　　　　　　　　　　　　,D 1.     ,
汗じみる　　　　　　　　　　　　　　　　あせじみる　　　　　　　　　　　　　　　,D 1.  NM ,
汗になる　　　　　　　　　　　　　　　　あせになる　　　　　　　　　　　　　　　,D R.     ,
汗の流れる　　　　　　　　　　　　　　　あせのながれる　　　　　　　　　　　　　,D 1.     ,
汗水流す　　　　　　　　　　　　　　　　あせみずながす　　　　　　　　　　　　　,D S.     ,
汗を入れる　　　　　　　　　　　　　　　あせをいれる　　　　　　　　　　　　　　,D 1.     ,
汗をかく　　　　　　　　　　　　　　　　あせをかく　　　　　　　　　　　　　　　,D K.     ,
汗を流す　　　　　　　　　　　　　　　　あせをながす　　　　　　　　　　　　　　,D S.     ,
汗を握る　　　　　　　　　　　　　　　　あせをにぎる　　　　　　　　　　　　　　,D R.     ,
遊び飽きる　　　　　　　　　　　　　　　あそびあきる　　　　　　　　　　　　　　,D 1.  NM ,
遊び歩く　　　　　　　　　　　　　　　　あそびあるく　　　　　　　　　　　　　　,D K.     ,
遊び暮らす　　　　　　　　　　　　　　　あそびくらす　　　　　　　　　　　　　　,D S.   I ,
遊び戯れる　　　　　　　　　　　　　　　あそびたわむれる　　　　　　　　　　　　,D 1.   I ,
遊びほうける　　　　　　　　　　　　　　あそびほうける　　　　　　　　　　　　　,D 1.  NI ,
遊び回る　　　　　　　　　　　　　　　　あそびまわる　　　　　　　　　　　　　　,D R.     ,
遊びを持たせる　　　　　　　　　　　　　あそびをもたせる　　　　　　　　　　　　,D 1.     ,
遊んでいる　　　　　　　　　　　　　　　あそんでいる　　　　　　　　　　　　　　,D 1.  N  ,
あだなす　　　　　　　　　　　　　　　　あだなす　　　　　　　　　　　　　　　　,D S.   I ,
頭が上がる　　　　　　　　　　　　　　　あたまがあがる　　　　　　　　　　　　　,D R.     ,
頭が切れる　　　　　　　　　　　　　　　あたまがきれる　　　　　　　　　　　　　,D 1.  P  ,
頭が狂う　　　　　　　　　　　　　　　　あたまがくるう　　　　　　　　　　　　　,D W.     ,
頭がさえる　　　　　　　　　　　　　　　あたまがさえる　　　　　　　　　　　　　,D 1.  P  ,
頭が下がる　　　　　　　　　　　　　　　あたまがさがる　　　　　　　　　　　　　,D R.  P  ,
頭が回る　　　　　　　　　　　　　　　　あたまがまわる　　　　　　　　　　　　　,D R.  P  ,
頭から決めてかかる　　　　　　　　　　　あたまからきめてかかる　　　　　　　　　,D R.  N  ,
頭から水を浴びる　　　　　　　　　　　　あたまからみずをあびる　　　　　　　　　,D 1.  N  ,
頭から湯気を立てる　　　　　　　　　　　あたまからゆげをたてる　　　　　　　　　,D 1.  N  ,
頭に入れる　　　　　　　　　　　　　　　あたまにいれる　　　　　　　　　　　　　,D 1.     ,
頭に浮かぶ　　　　　　　　　　　　　　　あたまにうかぶ　　　　　　　　　　　　　,D B.     ,
頭に浮かべる　　　　　　　　　　　　　　あたまにうかべる　　　　　　　　　　　　,D 1.     ,
頭に来る　　　　　　　　　　　　　　　　あたまにくる　　　　　　　　　　　　　　,D 3.  N  ,
頭に血が上る　　　　　　　　　　　　　　あたまにちがのぼる　　　　　　　　　　　,D R.  N  ,
頭の切れる　　　　　　　　　　　　　　　あたまのきれる　　　　　　　　　　　　　,D 1.  P  ,
頭の回る　　　　　　　　　　　　　　　　あたまのまわる　　　　　　　　　　　　　,D R.  P  ,
頭を上げる　　　　　　　　　　　　　　　あたまをあげる　　　　　　　　　　　　　,D 1.     ,
頭を痛める　　　　　　　　　　　　　　　あたまをいためる　　　　　　　　　　　　,D 1.  N  ,
頭を打つ　　　　　　　　　　　　　　　　あたまをうつ　　　　　　　　　　　　　　,D T.     ,
頭を押さえる　　　　　　　　　　　　　　あたまをおさえる　　　　　　　　　　　　,D 1.  N  ,
頭を抱える　　　　　　　　　　　　　　　あたまをかかえる　　　　　　　　　　　　,D 1.  N  ,
頭をかく　　　　　　　　　　　　　　　　あたまをかく　　　　　　　　　　　　　　,D K.  N  ,
頭を切り替える　　　　　　　　　　　　　あたまをきりかえる　　　　　　　　　　　,D 1.  P  ,
頭を砕く　　　　　　　　　　　　　　　　あたまをくだく　　　　　　　　　　　　　,D K.     ,
頭を下げる　　　　　　　　　　　　　　　あたまをさげる　　　　　　　　　　　　　,D 1.  P  ,
頭を絞る　　　　　　　　　　　　　　　　あたまをしぼる　　　　　　　　　　　　　,D R.     ,
頭を締める　　　　　　　　　　　　　　　あたまをしめる　　　　　　　　　　　　　,D 1.     ,
頭をそり上げる　　　　　　　　　　　　　あたまをそりあげる　　　　　　　　　　　,D 1.   M ,
頭を使う　　　　　　　　　　　　　　　　あたまをつかう　　　　　　　　　　　　　,D W.  P  ,
頭をつっこむ　　　　　　　　　　　　　　あたまをつっこむ　　　　　　　　　　　　,D M.     ,
頭を悩ます　　　　　　　　　　　　　　　あたまをなやます　　　　　　　　　　　　,D S.  N  ,
頭を働かせる　　　　　　　　　　　　　　あたまをはたらかせる　　　　　　　　　　,D 1.  P  ,
頭をはねる　　　　　　　　　　　　　　　あたまをはねる　　　　　　　　　　　　　,D 1.  N  ,
頭をひねる　　　　　　　　　　　　　　　あたまをひねる　　　　　　　　　　　　　,D R.     ,
頭を冷やされる　　　　　　　　　　　　　あたまをひやされる　　　　　　　　　　　,D 1.  PM ,
頭を冷やす　　　　　　　　　　　　　　　あたまをひやす　　　　　　　　　　　　　,D S.  P  ,
頭をほぐす　　　　　　　　　　　　　　　あたまをほぐす　　　　　　　　　　　　　,D S.     ,
頭を丸める　　　　　　　　　　　　　　　あたまをまるめる　　　　　　　　　　　　,D 1.     ,
頭を回す　　　　　　　　　　　　　　　　あたまをまわす　　　　　　　　　　　　　,D S.     ,
頭をもたげる　　　　　　　　　　　　　　あたまをもたげる　　　　　　　　　　　　,D 1.  N  ,
頭を横に振る　　　　　　　　　　　　　　あたまをよこにふる　　　　　　　　　　　,D R.  N  ,
新しい芽を伸ばす　　　　　　　　　　　　あたらしいめをのばす　　　　　　　　　　,D S.  P  ,
新しがる　　　　　　　　　　　　　　　　あたらしがる　　　　　　　　　　　　　　,D R.   I ,
あたら花を散らす　　　　　　　　　　　　あたらはなをちらす　　　　　　　　　　　,D S.  N  ,
当たりが付く　　　　　　　　　　　　　　あたりがつく　　　　　　　　　　　　　　,D K.  P  ,
当たり散らす　　　　　　　　　　　　　　あたりちらす　　　　　　　　　　　　　　,D S.  NI ,
当たりを掛ける　　　　　　　　　　　　　あたりをかける　　　　　　　　　　　　　,D 1.     ,
当たりを付ける　　　　　　　　　　　　　あたりをつける　　　　　　　　　　　　　,D 1.  P  ,
当たりを取る　　　　　　　　　　　　　　あたりをとる　　　　　　　　　　　　　　,D R.  P  ,
辺りをはばかる　　　　　　　　　　　　　あたりをはばかる　　　　　　　　　　　　,D R.  N  ,
辺りを払う　　　　　　　　　　　　　　　あたりをはらう　　　　　　　　　　　　　,D W.     ,
あだを討つ　　　　　　　　　　　　　　　あだをうつ　　　　　　　　　　　　　　　,D T.  P  ,
あだを取る　　　　　　　　　　　　　　　あだをとる　　　　　　　　　　　　　　　,D R.  P  ,
悪化の一途をたどる　　　　　　　　　　　あっかのいっとをたどる　　　　　　　　　,D R.  N  ,
悪貨は良貨を駆逐する　　　　　　　　　　あっかはりょうかをくちくする　　　　　　,D 4.  N  ,
熱くなる　　　　　　　　　　　　　　　　あつくなる　　　　　　　　　　　　　　　,D R.     ,
暑苦しがる　　　　　　　　　　　　　　　あつくるしがる　　　　　　　　　　　　　,D R.  NI ,
あっけに取られる　　　　　　　　　　　　あっけにとられる　　　　　　　　　　　　,D 1.  N  ,
暑さで参る　　　　　　　　　　　　　　　あつさでまいる　　　　　　　　　　　　　,D R.  N  ,
