ああ言う　　　　　　　　　　　　　　　　ああいう　　　　　　　　　　　　　　　　,R  .     ,
重出する　　　　　　　　　　　　　　　　じゅうしゅつする　　　　　　　　　　　　,D 4.   M ,
就床する　　　　　　　　　　　　　　　　しゅうしょうする　　　　　　　　　　　　,D 4.   I ,
重唱する　　　　　　　　　　　　　　　　じゅうしょうする　　　　　　　　　　　　,D 4.   I ,
重畳する　　　　　　　　　　　　　　　　じゅうじょうする　　　　　　　　　　　　,D 4.     ,
就職活動する　　　　　　　　　　　　　　しゅうしょくかつどうする　　　　　　　　,D 4.     ,
秋色が深まる　　　　　　　　　　　　　　しゅうしょくがふかまる　　　　　　　　　,D R.     ,
襲職する　　　　　　　　　　　　　　　　しゅうしょくする　　　　　　　　　　　　,D 4.     ,
修飾する　　　　　　　　　　　　　　　　しゅうしょくする　　　　　　　　　　　　,D 4.   I ,
就職する　　　　　　　　　　　　　　　　しゅうしょくする　　　　　　　　　　　　,D 4.   I ,
秋色を深める　　　　　　　　　　　　　　しゅうしょくをふかめる　　　　　　　　　,D 1.     ,
収支を合わせる　　　　　　　　　　　　　しゅうしをあわせる　　　　　　　　　　　,D 1.     ,
宗旨を変える　　　　　　　　　　　　　　しゅうしをかえる　　　　　　　　　　　　,D 1.     ,
十字を切る　　　　　　　　　　　　　　　じゅうじをきる　　　　　　　　　　　　　,D R.     ,
宗旨を説く　　　　　　　　　　　　　　　しゅうしをとく　　　　　　　　　　　　　,D K.     ,
衆人環視する　　　　　　　　　　　　　　しゅうじんかんしする　　　　　　　　　　,D 4.     ,
就寝する　　　　　　　　　　　　　　　　しゅうしんする　　　　　　　　　　　　　,D 4.   I ,
執心する　　　　　　　　　　　　　　　　しゅうしんする　　　　　　　　　　　　　,D 4.     ,
集塵する　　　　　　　　　　　　　　　　しゅうじんする　　　　　　　　　　　　　,D 4.   I ,
集水する　　　　　　　　　　　　　　　　しゅうすいする　　　　　　　　　　　　　,D 4.   I ,
私有する　　　　　　　　　　　　　　　　しゆうする　　　　　　　　　　　　　　　,D 4.     ,
集成する　　　　　　　　　　　　　　　　しゅうせいする　　　　　　　　　　　　　,D 4.   I ,
修正する　　　　　　　　　　　　　　　　しゅうせいする　　　　　　　　　　　　　,D 4.   I ,
修整する　　　　　　　　　　　　　　　　しゅうせいする　　　　　　　　　　　　　,D 4.   I ,
収税する　　　　　　　　　　　　　　　　しゅうぜいする　　　　　　　　　　　　　,D 4.   I ,
修正を加える　　　　　　　　　　　　　　しゅうせいをくわえる　　　　　　　　　　,D 1.     ,
修正を施す　　　　　　　　　　　　　　　しゅうせいをほどこす　　　　　　　　　　,D S.     ,
集積する　　　　　　　　　　　　　　　　しゅうせきする　　　　　　　　　　　　　,D 4.   I ,
就籍する　　　　　　　　　　　　　　　　しゅうせきする　　　　　　　　　　　　　,D 4.     ,
重責を担う　　　　　　　　　　　　　　　じゅうせきをになう　　　　　　　　　　　,D W.  P  ,
重責を果たす　　　　　　　　　　　　　　じゅうせきをはたす　　　　　　　　　　　,D S.  P  ,
集線する　　　　　　　　　　　　　　　　しゅうせんする　　　　　　　　　　　　　,D 4.     ,
周旋する　　　　　　　　　　　　　　　　しゅうせんする　　　　　　　　　　　　　,D 4.   I ,
修繕する　　　　　　　　　　　　　　　　しゅうぜんする　　　　　　　　　　　　　,D 4.  PI ,
修造する　　　　　　　　　　　　　　　　しゅうぞうする　　　　　　　　　　　　　,D 4.     ,
収蔵する　　　　　　　　　　　　　　　　しゅうぞうする　　　　　　　　　　　　　,D 4.   I ,
重奏する　　　　　　　　　　　　　　　　じゅうそうする　　　　　　　　　　　　　,D 4.   I ,
縦走する　　　　　　　　　　　　　　　　じゅうそうする　　　　　　　　　　　　　,D 4.   I ,
重装備する　　　　　　　　　　　　　　　じゅうそうびする　　　　　　　　　　　　,D 4.   I ,
集束する　　　　　　　　　　　　　　　　しゅうそくする　　　　　　　　　　　　　,D 4.   I ,
終息する　　　　　　　　　　　　　　　　しゅうそくする　　　　　　　　　　　　　,D 4.   M ,
収束する　　　　　　　　　　　　　　　　しゅうそくする　　　　　　　　　　　　　,D 4.   M ,
充足する　　　　　　　　　　　　　　　　じゅうそくする　　　　　　　　　　　　　,D 4.  PM ,
充塞する　　　　　　　　　　　　　　　　じゅうそくする　　　　　　　　　　　　　,D 4.   M ,
縦続する　　　　　　　　　　　　　　　　じゅうぞくする　　　　　　　　　　　　　,D 4.     ,
従属する　　　　　　　　　　　　　　　　じゅうぞくする　　　　　　　　　　　　　,D 4.   M ,
愁訴する　　　　　　　　　　　　　　　　しゅうそする　　　　　　　　　　　　　　,D 4.   I ,
渋滞する　　　　　　　　　　　　　　　　じゅうたいする　　　　　　　　　　　　　,D 4.  NM ,
集大成する　　　　　　　　　　　　　　　しゅうたいせいする　　　　　　　　　　　,D 4.   I ,
醜態を演ずる　　　　　　　　　　　　　　しゅうたいをえんずる　　　　　　　　　　,D 6.  N  ,
醜態をさらす　　　　　　　　　　　　　　しゅうたいをさらす　　　　　　　　　　　,D S.  N  ,
収奪する　　　　　　　　　　　　　　　　しゅうだつする　　　　　　　　　　　　　,D 4.   I ,
縦断する　　　　　　　　　　　　　　　　じゅうだんする　　　　　　　　　　　　　,D 4.   I ,
銃弾に倒れる　　　　　　　　　　　　　　じゅうだんにたおれる　　　　　　　　　　,D 1.  N  ,
修築する　　　　　　　　　　　　　　　　しゅうちくする　　　　　　　　　　　　　,D 4.   I ,
周知する　　　　　　　　　　　　　　　　しゅうちする　　　　　　　　　　　　　　,D 4.   I ,
収着する　　　　　　　　　　　　　　　　しゅうちゃくする　　　　　　　　　　　　,D 4.     ,
執着する　　　　　　　　　　　　　　　　しゅうちゃくする　　　　　　　　　　　　,D 4.   I ,
集注する　　　　　　　　　　　　　　　　しゅうちゅうする　　　　　　　　　　　　,D 4.     ,
集中する　　　　　　　　　　　　　　　　しゅうちゅうする　　　　　　　　　　　　,D 4.     ,
衆知を集める　　　　　　　　　　　　　　しゅうちをあつめる　　　　　　　　　　　,D 1.     ,
修訂する　　　　　　　　　　　　　　　　しゅうていする　　　　　　　　　　　　　,D 4.   I ,
重訂する　　　　　　　　　　　　　　　　じゅうていする　　　　　　　　　　　　　,D 4.     ,
重点が移る　　　　　　　　　　　　　　　じゅうてんがうつる　　　　　　　　　　　,D R.  N  ,
集電する　　　　　　　　　　　　　　　　しゅうでんする　　　　　　　　　　　　　,D 4.     ,
充填する　　　　　　　　　　　　　　　　じゅうてんする　　　　　　　　　　　　　,D 4.   I ,
充電する　　　　　　　　　　　　　　　　じゅうでんする　　　　　　　　　　　　　,D 4.   I ,
重点を置く　　　　　　　　　　　　　　　じゅうてんをおく　　　　　　　　　　　　,D K.  P  ,
修道する　　　　　　　　　　　　　　　　しゅうどうする　　　　　　　　　　　　　,D 4.   I ,
重盗する　　　　　　　　　　　　　　　　じゅうとうする　　　　　　　　　　　　　,D 4.     ,
充当する　　　　　　　　　　　　　　　　じゅうとうする　　　　　　　　　　　　　,D 4.   I ,
習得する　　　　　　　　　　　　　　　　しゅうとくする　　　　　　　　　　　　　,D 4.   I ,
拾得する　　　　　　　　　　　　　　　　しゅうとくする　　　　　　　　　　　　　,D 4.   I ,
修得する　　　　　　　　　　　　　　　　しゅうとくする　　　　　　　　　　　　　,D 4.   I ,
収得する　　　　　　　　　　　　　　　　しゅうとくする　　　　　　　　　　　　　,D 4.   I ,
シュートする　　　　　　　　　　　　　　しゅーとする　　　　　　　　　　　　　　,D 4.   I ,
シュートを許す　　　　　　　　　　　　　しゅーとをゆるす　　　　　　　　　　　　,D S.  N  ,
衆に先んずる　　　　　　　　　　　　　　しゅうにさきんずる　　　　　　　　　　　,D 6.  P  ,
衆にぬきん出る　　　　　　　　　　　　　しゅうにぬきんでる　　　　　　　　　　　,D 1.  P  ,
就任する　　　　　　　　　　　　　　　　しゅうにんする　　　　　　　　　　　　　,D 4.   I ,
重任する　　　　　　　　　　　　　　　　じゅうにんする　　　　　　　　　　　　　,D 4.   M ,
集熱する　　　　　　　　　　　　　　　　しゅうねつする　　　　　　　　　　　　　,D 4.   M ,
執念が実る　　　　　　　　　　　　　　　しゅうねんがみのる　　　　　　　　　　　,D R.  P  ,
執念を燃やす　　　　　　　　　　　　　　しゅうねんをもやす　　　　　　　　　　　,D S.  N  ,
就農する　　　　　　　　　　　　　　　　しゅうのうする　　　　　　　　　　　　　,D 4.     ,
収納する　　　　　　　　　　　　　　　　しゅうのうする　　　　　　　　　　　　　,D 4.   I ,
集配信する　　　　　　　　　　　　　　　しゅうはいしんする　　　　　　　　　　　,D 4.   I ,
集配する　　　　　　　　　　　　　　　　しゅうはいする　　　　　　　　　　　　　,D 4.   I ,
収買する　　　　　　　　　　　　　　　　しゅうばいする　　　　　　　　　　　　　,D 4.     ,
集配送する　　　　　　　　　　　　　　　しゅうはいそうする　　　　　　　　　　　,D 4.     ,
集配電する　　　　　　　　　　　　　　　しゅうはいでんする　　　　　　　　　　　,D 4.   I ,
就縛する　　　　　　　　　　　　　　　　しゅうばくする　　　　　　　　　　　　　,D 4.  N  ,
重箱のすみをつつく　　　　　　　　　　　じゅうばこのすみをつつく　　　　　　　　,D K.  N  ,
重箱の隅をほじくる　　　　　　　　　　　じゅうばこのすみをほじくる　　　　　　　,D R.  N  ,
秋波を送る　　　　　　　　　　　　　　　しゅうはをおくる　　　　　　　　　　　　,D R.     ,
重版する　　　　　　　　　　　　　　　　じゅうはんする　　　　　　　　　　　　　,D 4.   I ,
終盤に入る　　　　　　　　　　　　　　　しゅうばんにはいる　　　　　　　　　　　,D R.     ,
周備する　　　　　　　　　　　　　　　　しゅうびする　　　　　　　　　　　　　　,D 4.     ,
充備する　　　　　　　　　　　　　　　　じゅうびする　　　　　　　　　　　　　　,D 4.     ,
集票する　　　　　　　　　　　　　　　　しゅうひょうする　　　　　　　　　　　　,D 4.   I ,
愁眉を開く　　　　　　　　　　　　　　　しゅうびをひらく　　　　　　　　　　　　,D K.  PM ,
修復する　　　　　　　　　　　　　　　　しゅうふくする　　　　　　　　　　　　　,D 4.   I ,
重複する　　　　　　　　　　　　　　　　じゅうふくする　　　　　　　　　　　　　,D 4.   M ,
充腹する　　　　　　　　　　　　　　　　じゅうふくする　　　　　　　　　　　　　,D 4.     ,
重武装する　　　　　　　　　　　　　　　じゅうぶそうする　　　　　　　　　　　　,D 4.     ,
十分過ぎる　　　　　　　　　　　　　　　じゅうぶんすぎる　　　　　　　　　　　　,D 1.  P  ,
周訪する　　　　　　　　　　　　　　　　しゅうほうする　　　　　　　　　　　　　,D 4.     ,
衆望を担う　　　　　　　　　　　　　　　しゅうぼうをになう　　　　　　　　　　　,D W.     ,
修補する　　　　　　　　　　　　　　　　しゅうほする　　　　　　　　　　　　　　,D 4.   I ,
終幕を迎える　　　　　　　　　　　　　　しゅうまくをむかえる　　　　　　　　　　,D 1.     ,
充満する　　　　　　　　　　　　　　　　じゅうまんする　　　　　　　　　　　　　,D 4.   M ,
就眠する　　　　　　　　　　　　　　　　しゅうみんする　　　　　　　　　　　　　,D 4.   M ,
襲名する　　　　　　　　　　　　　　　　しゅうめいする　　　　　　　　　　　　　,D 4.   I ,
衆目にさらされる　　　　　　　　　　　　しゅうもくにさらされる　　　　　　　　　,D 1.  NM ,
集約する　　　　　　　　　　　　　　　　しゅうやくする　　　　　　　　　　　　　,D 4.   I ,
重訳する　　　　　　　　　　　　　　　　じゅうやくする　　　　　　　　　　　　　,D 4.   I ,
舟遊する　　　　　　　　　　　　　　　　しゅうゆうする　　　　　　　　　　　　　,D 4.     ,
周遊する　　　　　　　　　　　　　　　　しゅうゆうする　　　　　　　　　　　　　,D 4.     ,
重要視する　　　　　　　　　　　　　　　じゅうようしする　　　　　　　　　　　　,D 4.  PI ,
襲用する　　　　　　　　　　　　　　　　しゅうようする　　　　　　　　　　　　　,D 4.   I ,
修養する　　　　　　　　　　　　　　　　しゅうようする　　　　　　　　　　　　　,D 4.  PI ,
収用する　　　　　　　　　　　　　　　　しゅうようする　　　　　　　　　　　　　,D 4.   I ,
収容する　　　　　　　　　　　　　　　　しゅうようする　　　　　　　　　　　　　,D 4.   I ,
重用する　　　　　　　　　　　　　　　　じゅうようする　　　　　　　　　　　　　,D 4.   I ,
充用する　　　　　　　　　　　　　　　　じゅうようする　　　　　　　　　　　　　,D 4.   I ,
柔よく剛を制す　　　　　　　　　　　　　じゅうよくごうをせいす　　　　　　　　　,D S.  P  ,
襲来する　　　　　　　　　　　　　　　　しゅうらいする　　　　　　　　　　　　　,D 4.  NM ,
周覧する　　　　　　　　　　　　　　　　しゅうらんする　　　　　　　　　　　　　,D 4.     ,
縦覧する　　　　　　　　　　　　　　　　じゅうらんする　　　　　　　　　　　　　,D 4.   I ,
修理する　　　　　　　　　　　　　　　　しゅうりする　　　　　　　　　　　　　　,D 4.  PI ,
終了する　　　　　　　　　　　　　　　　しゅうりょうする　　　　　　　　　　　　,D 4.   M ,
終漁する　　　　　　　　　　　　　　　　しゅうりょうする　　　　　　　　　　　　,D 4.     ,
修了する　　　　　　　　　　　　　　　　しゅうりょうする　　　　　　　　　　　　,D 4.  PM ,
蹂躙する　　　　　　　　　　　　　　　　じゅうりんする　　　　　　　　　　　　　,D 4.  NI ,
周歴する　　　　　　　　　　　　　　　　しゅうれきする　　　　　　　　　　　　　,D 4.     ,
修練する　　　　　　　　　　　　　　　　しゅうれんする　　　　　　　　　　　　　,D 4.  PM ,
就労する　　　　　　　　　　　　　　　　しゅうろうする　　　　　　　　　　　　　,D 4.   I ,
集録する　　　　　　　　　　　　　　　　しゅうろくする　　　　　　　　　　　　　,D 4.   I ,
収録する　　　　　　　　　　　　　　　　しゅうろくする　　　　　　　　　　　　　,D 4.   I ,
収賄する　　　　　　　　　　　　　　　　しゅうわいする　　　　　　　　　　　　　,D 4.  NI ,
雌雄を決する　　　　　　　　　　　　　　しゆうをけっする　　　　　　　　　　　　,D 5.     ,
衆を頼む　　　　　　　　　　　　　　　　しゅうをたのむ　　　　　　　　　　　　　,D M.     ,
主演する　　　　　　　　　　　　　　　　しゅえんする　　　　　　　　　　　　　　,D 4.     ,
授戒する　　　　　　　　　　　　　　　　じゅかいする　　　　　　　　　　　　　　,D 4.     ,
受戒する　　　　　　　　　　　　　　　　じゅかいする　　　　　　　　　　　　　　,D 4.     ,
朱書きする　　　　　　　　　　　　　　　しゅがきする　　　　　　　　　　　　　　,D 4.   I ,
手加工する　　　　　　　　　　　　　　　しゅかこうする　　　　　　　　　　　　　,D 4.   I ,
朱が入る　　　　　　　　　　　　　　　　しゅがはいる　　　　　　　　　　　　　　,D R.     ,
取還する　　　　　　　　　　　　　　　　しゅかんする　　　　　　　　　　　　　　,D 4.     ,
主管する　　　　　　　　　　　　　　　　しゅかんする　　　　　　　　　　　　　　,D 4.   I ,
朱記する　　　　　　　　　　　　　　　　しゅきする　　　　　　　　　　　　　　　,D 4.   I ,
受給する　　　　　　　　　　　　　　　　じゅきゅうする　　　　　　　　　　　　　,D 4.     ,
修行する　　　　　　　　　　　　　　　　しゅぎょうする　　　　　　　　　　　　　,D 4.   I ,
修業する　　　　　　　　　　　　　　　　しゅぎょうする　　　　　　　　　　　　　,D 4.   I ,
授業する　　　　　　　　　　　　　　　　じゅぎょうする　　　　　　　　　　　　　,D 4.   I ,
酒気を帯びる　　　　　　　　　　　　　　しゅきをおびる　　　　　　　　　　　　　,D 1.  N  ,
宿衛する　　　　　　　　　　　　　　　　しゅくえいする　　　　　　　　　　　　　,D 4.     ,
宿営する　　　　　　　　　　　　　　　　しゅくえいする　　　　　　　　　　　　　,D 4.   I ,
粛学する　　　　　　　　　　　　　　　　しゅくがくする　　　　　　　　　　　　　,D 4.     ,
祝賀する　　　　　　　　　　　　　　　　しゅくがする　　　　　　　　　　　　　　,D 4.  PI ,
熟議する　　　　　　　　　　　　　　　　じゅくぎする　　　　　　　　　　　　　　,D 4.   I ,
粛軍する　　　　　　　　　　　　　　　　しゅくぐんする　　　　　　　　　　　　　,D 4.  P  ,
縮減する　　　　　　　　　　　　　　　　しゅくげんする　　　　　　　　　　　　　,D 4.  NI ,
縮合する　　　　　　　　　　　　　　　　しゅくごうする　　　　　　　　　　　　　,D 4.   M ,
縮刷する　　　　　　　　　　　　　　　　しゅくさつする　　　　　　　　　　　　　,D 4.  NI ,
祝辞する　　　　　　　　　　　　　　　　しゅくじする　　　　　　　　　　　　　　,D 4.  PI ,
熟視する　　　　　　　　　　　　　　　　じゅくしする　　　　　　　　　　　　　　,D 4.   I ,
熟思する　　　　　　　　　　　　　　　　じゅくしする　　　　　　　　　　　　　　,D 4.   I ,
縮尺する　　　　　　　　　　　　　　　　しゅくしゃくする　　　　　　　　　　　　,D 4.   I ,
縮写する　　　　　　　　　　　　　　　　しゅくしゃする　　　　　　　　　　　　　,D 4.   I ,
縮小する　　　　　　　　　　　　　　　　しゅくしょうする　　　　　　　　　　　　,D 4.   I ,
熟す　　　　　　　　　　　　　　　　　　じゅくす　　　　　　　　　　　　　　　　,D S.   M ,
熟睡する　　　　　　　　　　　　　　　　じゅくすいする　　　　　　　　　　　　　,D 4.   M ,
祝する　　　　　　　　　　　　　　　　　しゅくする　　　　　　　　　　　　　　　,D 5.  PI ,
宿する　　　　　　　　　　　　　　　　　しゅくする　　　　　　　　　　　　　　　,D 5.   I ,
熟する　　　　　　　　　　　　　　　　　じゅくする　　　　　　　　　　　　　　　,D 5.   M ,
粛清する　　　　　　　　　　　　　　　　しゅくせいする　　　　　　　　　　　　　,D 4.  NI ,
粛正する　　　　　　　　　　　　　　　　しゅくせいする　　　　　　　　　　　　　,D 4.   I ,
熟成する　　　　　　　　　　　　　　　　じゅくせいする　　　　　　　　　　　　　,D 4.   M ,
熟省する　　　　　　　　　　　　　　　　じゅくせいする　　　　　　　　　　　　　,D 4.     ,
宿題が出る　　　　　　　　　　　　　　　しゅくだいがでる　　　　　　　　　　　　,D 1.     ,
縮退する　　　　　　　　　　　　　　　　しゅくたいする　　　　　　　　　　　　　,D 4.  NM ,
宿題を出す　　　　　　　　　　　　　　　しゅくだいをだす　　　　　　　　　　　　,D S.     ,
熟達する　　　　　　　　　　　　　　　　じゅくたつする　　　　　　　　　　　　　,D 4.  PM ,
熟談する　　　　　　　　　　　　　　　　じゅくだんする　　　　　　　　　　　　　,D 4.     ,
熟知する　　　　　　　　　　　　　　　　じゅくちする　　　　　　　　　　　　　　,D 4.  PI ,
宿直する　　　　　　　　　　　　　　　　しゅくちょくする　　　　　　　　　　　　,D 4.   I ,
粛党する　　　　　　　　　　　　　　　　しゅくとうする　　　　　　　　　　　　　,D 4.     ,
熟読する　　　　　　　　　　　　　　　　じゅくどくする　　　　　　　　　　　　　,D 4.   I ,
祝杯を挙げる　　　　　　　　　　　　　　しゅくはいをあげる　　　　　　　　　　　,D 1.  P  ,
宿泊する　　　　　　　　　　　　　　　　しゅくはくする　　　　　　　　　　　　　,D 4.   I ,
祝福する　　　　　　　　　　　　　　　　しゅくふくする　　　　　　　　　　　　　,D 4.  PI ,
祝福を受ける　　　　　　　　　　　　　　しゅくふくをうける　　　　　　　　　　　,D 1.  P  ,
熟眠する　　　　　　　　　　　　　　　　じゅくみんする　　　　　　　　　　　　　,D 4.  PM ,
縮約する　　　　　　　　　　　　　　　　しゅくやくする　　　　　　　　　　　　　,D 4.     ,
熟覧する　　　　　　　　　　　　　　　　じゅくらんする　　　　　　　　　　　　　,D 4.   I ,
熟慮する　　　　　　　　　　　　　　　　じゅくりょする　　　　　　　　　　　　　,D 4.  PI ,
熟練する　　　　　　　　　　　　　　　　じゅくれんする　　　　　　　　　　　　　,D 4.  PM ,
受勲する　　　　　　　　　　　　　　　　じゅくんする　　　　　　　　　　　　　　,D 4.   M ,
受継する　　　　　　　　　　　　　　　　じゅけいする　　　　　　　　　　　　　　,D 4.     ,
受刑する　　　　　　　　　　　　　　　　じゅけいする　　　　　　　　　　　　　　,D 4.  NI ,
受血する　　　　　　　　　　　　　　　　じゅけつする　　　　　　　　　　　　　　,D 4.     ,
受験する　　　　　　　　　　　　　　　　じゅけんする　　　　　　　　　　　　　　,D 4.   I ,
受検する　　　　　　　　　　　　　　　　じゅけんする　　　　　　　　　　　　　　,D 4.   I ,
趣向替えする　　　　　　　　　　　　　　しゅこうがえする　　　　　　　　　　　　,D 4.  PI ,
首肯する　　　　　　　　　　　　　　　　しゅこうする　　　　　　　　　　　　　　,D 4.  PI ,
手交する　　　　　　　　　　　　　　　　しゅこうする　　　　　　　　　　　　　　,D 4.   I ,
受講する　　　　　　　　　　　　　　　　じゅこうする　　　　　　　　　　　　　　,D 4.   I ,
受光する　　　　　　　　　　　　　　　　じゅこうする　　　　　　　　　　　　　　,D 4.   M ,
趣向を凝らす　　　　　　　　　　　　　　しゅこうをこらす　　　　　　　　　　　　,D S.  P  ,
守護する　　　　　　　　　　　　　　　　しゅごする　　　　　　　　　　　　　　　,D 4.   I ,
主宰する　　　　　　　　　　　　　　　　しゅさいする　　　　　　　　　　　　　　,D 4.   I ,
主催する　　　　　　　　　　　　　　　　しゅさいする　　　　　　　　　　　　　　,D 4.   I ,
取材する　　　　　　　　　　　　　　　　しゅざいする　　　　　　　　　　　　　　,D 4.   I ,
手写する　　　　　　　　　　　　　　　　しゅしゃする　　　　　　　　　　　　　　,D 4.     ,
取捨する　　　　　　　　　　　　　　　　しゅしゃする　　　　　　　　　　　　　　,D 4.   I ,
取捨選択する　　　　　　　　　　　　　　しゅしゃせんたくする　　　　　　　　　　,D 4.     ,
授受する　　　　　　　　　　　　　　　　じゅじゅする　　　　　　　　　　　　　　,D 4.   I ,
手術する　　　　　　　　　　　　　　　　しゅじゅつする　　　　　　　　　　　　　,D 4.   I ,
主唱する　　　　　　　　　　　　　　　　しゅしょうする　　　　　　　　　　　　　,D 4.   I ,
授賞する　　　　　　　　　　　　　　　　じゅしょうする　　　　　　　　　　　　　,D 4.  PI ,
授章する　　　　　　　　　　　　　　　　じゅしょうする　　　　　　　　　　　　　,D 4.   I ,
受賞する　　　　　　　　　　　　　　　　じゅしょうする　　　　　　　　　　　　　,D 4.  PM ,
受章する　　　　　　　　　　　　　　　　じゅしょうする　　　　　　　　　　　　　,D 4.  PM ,
受傷する　　　　　　　　　　　　　　　　じゅしょうする　　　　　　　　　　　　　,D 4.  NM ,
朱書する　　　　　　　　　　　　　　　　しゅしょする　　　　　　　　　　　　　　,D 4.   I ,
手書する　　　　　　　　　　　　　　　　しゅしょする　　　　　　　　　　　　　　,D 4.   I ,
受診する　　　　　　　　　　　　　　　　じゅしんする　　　　　　　　　　　　　　,D 4.   I ,
受審する　　　　　　　　　　　　　　　　じゅしんする　　　　　　　　　　　　　　,D 4.     ,
受信する　　　　　　　　　　　　　　　　じゅしんする　　　　　　　　　　　　　　,D 4.     ,
取水する　　　　　　　　　　　　　　　　しゅすいする　　　　　　　　　　　　　　,D 4.   I ,
入水する　　　　　　　　　　　　　　　　じゅすいする　　　　　　　　　　　　　　,D 4.  NI ,
受水する　　　　　　　　　　　　　　　　じゅすいする　　　　　　　　　　　　　　,D 4.     ,
守成する　　　　　　　　　　　　　　　　しゅせいする　　　　　　　　　　　　　　,D 4.     ,
授精する　　　　　　　　　　　　　　　　じゅせいする　　　　　　　　　　　　　　,D 4.   I ,
受精する　　　　　　　　　　　　　　　　じゅせいする　　　　　　　　　　　　　　,D 4.   M ,
守戦する　　　　　　　　　　　　　　　　しゅせんする　　　　　　　　　　　　　　,D 4.   I ,
受洗する　　　　　　　　　　　　　　　　じゅせんする　　　　　　　　　　　　　　,D 4.     ,
受禅する　　　　　　　　　　　　　　　　じゅぜんする　　　　　　　　　　　　　　,D 4.     ,
受送信する　　　　　　　　　　　　　　　じゅそうしんする　　　　　　　　　　　　,D 4.     ,
受贈する　　　　　　　　　　　　　　　　じゅぞうする　　　　　　　　　　　　　　,D 4.   I ,
受像する　　　　　　　　　　　　　　　　じゅぞうする　　　　　　　　　　　　　　,D 4.   M ,
呪詛する　　　　　　　　　　　　　　　　じゅそする　　　　　　　　　　　　　　　,D 4.  NI ,
受胎する　　　　　　　　　　　　　　　　じゅたいする　　　　　　　　　　　　　　,D 4.  PM ,
受託する　　　　　　　　　　　　　　　　じゅたくする　　　　　　　　　　　　　　,D 4.  PI ,
受諾する　　　　　　　　　　　　　　　　じゅだくする　　　　　　　　　　　　　　,D 4.  PI ,
手段を選ばない　　　　　　　　　　　　　しゅだんをえらばない　　　　　　　　　　,D 7.     ,
手段を講じる　　　　　　　　　　　　　　しゅだんをこうじる　　　　　　　　　　　,D 1.  P  ,
受注する　　　　　　　　　　　　　　　　じゅちゅうする　　　　　　　　　　　　　,D 4.  P  ,
手中に収める　　　　　　　　　　　　　　しゅちゅうにおさめる　　　　　　　　　　,D 1.  P  ,
手中に落ちる　　　　　　　　　　　　　　しゅちゅうにおちる　　　　　　　　　　　,D 1.  P  ,
手中に帰する　　　　　　　　　　　　　　しゅちゅうにきする　　　　　　　　　　　,D 4.  P  ,
手中に握る　　　　　　　　　　　　　　　しゅちゅうににぎる　　　　　　　　　　　,D R.     ,
腫脹する　　　　　　　　　　　　　　　　しゅちょうする　　　　　　　　　　　　　,D 4.   M ,
主張する　　　　　　　　　　　　　　　　しゅちょうする　　　　　　　　　　　　　,D 4.   I ,
出域する　　　　　　　　　　　　　　　　しゅついきする　　　　　　　　　　　　　,D 4.     ,
出演する　　　　　　　　　　　　　　　　しゅつえんする　　　　　　　　　　　　　,D 4.   I ,
出援する　　　　　　　　　　　　　　　　しゅつえんする　　　　　　　　　　　　　,D 4.     ,
述懐する　　　　　　　　　　　　　　　　じゅっかいする　　　　　　　　　　　　　,D 4.   M ,
出貨する　　　　　　　　　　　　　　　　しゅっかする　　　　　　　　　　　　　　,D 4.   I ,
出荷する　　　　　　　　　　　　　　　　しゅっかする　　　　　　　　　　　　　　,D 4.   I ,
出火する　　　　　　　　　　　　　　　　しゅっかする　　　　　　　　　　　　　　,D 4.  NM ,
出芽する　　　　　　　　　　　　　　　　しゅつがする　　　　　　　　　　　　　　,D 4.  P  ,
出棺する　　　　　　　　　　　　　　　　しゅっかんする　　　　　　　　　　　　　,D 4.   I ,
出願する　　　　　　　　　　　　　　　　しゅつがんする　　　　　　　　　　　　　,D 4.   I ,
出郷する　　　　　　　　　　　　　　　　しゅっきょうする　　　　　　　　　　　　,D 4.     ,
出京する　　　　　　　　　　　　　　　　しゅっきょうする　　　　　　　　　　　　,D 4.     ,
出御する　　　　　　　　　　　　　　　　しゅつぎょする　　　　　　　　　　　　　,D 4.     ,
出金する　　　　　　　　　　　　　　　　しゅっきんする　　　　　　　　　　　　　,D 4.   I ,
出勤する　　　　　　　　　　　　　　　　しゅっきんする　　　　　　　　　　　　　,D 4.   I ,
出撃する　　　　　　　　　　　　　　　　しゅつげきする　　　　　　　　　　　　　,D 4.   I ,
出家する　　　　　　　　　　　　　　　　しゅっけする　　　　　　　　　　　　　　,D 4.   I ,
出血する　　　　　　　　　　　　　　　　しゅっけつする　　　　　　　　　　　　　,D 4.  NM ,
出検する　　　　　　　　　　　　　　　　しゅっけんする　　　　　　　　　　　　　,D 4.   I ,
出現する　　　　　　　　　　　　　　　　しゅつげんする　　　　　　　　　　　　　,D 4.   M ,
出講する　　　　　　　　　　　　　　　　しゅっこうする　　　　　　　　　　　　　,D 4.   I ,
出航する　　　　　　　　　　　　　　　　しゅっこうする　　　　　　　　　　　　　,D 4.   I ,
出稿する　　　　　　　　　　　　　　　　しゅっこうする　　　　　　　　　　　　　,D 4.   I ,
出港する　　　　　　　　　　　　　　　　しゅっこうする　　　　　　　　　　　　　,D 4.   I ,
出校する　　　　　　　　　　　　　　　　しゅっこうする　　　　　　　　　　　　　,D 4.   I ,
