ああ言う　　　　　　　　　　　　　　　　ああいう　　　　　　　　　　　　　　　　,R  .     ,
あおりを食う　　　　　　　　　　　　　　あおりをくう　　　　　　　　　　　　　　,D W.  N  ,
あおる　　　　　　　　　　　　　　　　　あおる　　　　　　　　　　　　　　　　　,D R.   I ,
アカウンティングする　　　　　　　　　　あかうんてぃんぐする　　　　　　　　　　,D 4.   I ,
あかが抜ける　　　　　　　　　　　　　　あかがぬける　　　　　　　　　　　　　　,D 1.  P  ,
あがく　　　　　　　　　　　　　　　　　あがく　　　　　　　　　　　　　　　　　,D K.  NI ,
赤くなる　　　　　　　　　　　　　　　　あかくなる　　　　　　　　　　　　　　　,D R.     ,
証しが立つ　　　　　　　　　　　　　　　あかしがたつ　　　　　　　　　　　　　　,D T.  P  ,
明かし暮らす　　　　　　　　　　　　　　あかしくらす　　　　　　　　　　　　　　,D S.     ,
証し立てする　　　　　　　　　　　　　　あかしだてする　　　　　　　　　　　　　,D 4.   I ,
明かす　　　　　　　　　　　　　　　　　あかす　　　　　　　　　　　　　　　　　,D S.   I ,
飽かす　　　　　　　　　　　　　　　　　あかす　　　　　　　　　　　　　　　　　,D S.   M ,
証す　　　　　　　　　　　　　　　　　　あかす　　　　　　　　　　　　　　　　　,D S.   I ,
赤茶ける　　　　　　　　　　　　　　　　あかちゃける　　　　　　　　　　　　　　,D 1.   M ,
あがなう　　　　　　　　　　　　　　　　あがなう　　　　　　　　　　　　　　　　,D W.   I ,
あか抜けする　　　　　　　　　　　　　　あかぬけする　　　　　　　　　　　　　　,D 4.  PM ,
あか抜ける　　　　　　　　　　　　　　　あかぬける　　　　　　　　　　　　　　　,D 1.  PM ,
赤み掛かる　　　　　　　　　　　　　　　あかみがかる　　　　　　　　　　　　　　,D R.   M ,
赤むけする　　　　　　　　　　　　　　　あかむけする　　　　　　　　　　　　　　,D 4.   M ,
赤める　　　　　　　　　　　　　　　　　あかめる　　　　　　　　　　　　　　　　,D 1.   M ,
明らむ　　　　　　　　　　　　　　　　　あからむ　　　　　　　　　　　　　　　　,D M.   M ,
赤らむ　　　　　　　　　　　　　　　　　あからむ　　　　　　　　　　　　　　　　,D M.   M ,
赤らめる　　　　　　　　　　　　　　　　あからめる　　　　　　　　　　　　　　　,D 1.   M ,
上がり降りする　　　　　　　　　　　　　あがりおりする　　　　　　　　　　　　　,D 4.   I ,
上がり下りする　　　　　　　　　　　　　あがりおりする　　　　　　　　　　　　　,D 4.   I ,
明かりがつく　　　　　　　　　　　　　　あかりがつく　　　　　　　　　　　　　　,D K.   M ,
上がり込む　　　　　　　　　　　　　　　あがりこむ　　　　　　　　　　　　　　　,D M.  N  ,
上がり下がりする　　　　　　　　　　　　あがりさがりする　　　　　　　　　　　　,D 4.   I ,
揚る　　　　　　　　　　　　　　　　　　あがる　　　　　　　　　　　　　　　　　,D R.     ,
揚がる　　　　　　　　　　　　　　　　　あがる　　　　　　　　　　　　　　　　　,D R.   M ,
上がる　　　　　　　　　　　　　　　　　あがる　　　　　　　　　　　　　　　　　,D R.   M ,
挙る　　　　　　　　　　　　　　　　　　あがる　　　　　　　　　　　　　　　　　,D R.     ,
挙がる　　　　　　　　　　　　　　　　　あがる　　　　　　　　　　　　　　　　　,D R.   M ,
明るむ　　　　　　　　　　　　　　　　　あかるむ　　　　　　　　　　　　　　　　,D M.   M ,
赤を入れる　　　　　　　　　　　　　　　あかをいれる　　　　　　　　　　　　　　,D 1.     ,
あかんべする　　　　　　　　　　　　　　あかんべする　　　　　　　　　　　　　　,D 4.   I ,
赤ん坊を取り上げる　　　　　　　　　　　あかんぼうをとりあげる　　　　　　　　　,D 1.     ,
飽きが来る　　　　　　　　　　　　　　　あきがくる　　　　　　　　　　　　　　　,D 3.  N  ,
秋風が立つ　　　　　　　　　　　　　　　あきかぜがたつ　　　　　　　　　　　　　,D T.     ,
秋風が吹く　　　　　　　　　　　　　　　あきかぜがふく　　　　　　　　　　　　　,D K.     ,
空き過ぎる　　　　　　　　　　　　　　　あきすぎる　　　　　　　　　　　　　　　,D 1.  N  ,
