身の内　　　　　　　　　　　　　　　　　みのうち　　　　　　　　　　　　　　　　,C  .     ,
妙　　　　　　　　　　　　　　　　　　　みょう　　　　　　　　　　　　　　　　　,C  .     ,
無能力　　　　　　　　　　　　　　　　　むのうりょく　　　　　　　　　　　　　　,C  .  N  ,
目白押し　　　　　　　　　　　　　　　　めじろおし　　　　　　　　　　　　　　　,C  .     ,
めちゃくちゃ　　　　　　　　　　　　　　めちゃくちゃ　　　　　　　　　　　　　　,C  .  N  ,高程度,形容詞
もちきり　　　　　　　　　　　　　　　　もちきり　　　　　　　　　　　　　　　　,C  .  P  ,
最も　　　　　　　　　　　　　　　　　　もっとも　　　　　　　　　　　　　　　　,C  .     ,もっともです
持て余し気味　　　　　　　　　　　　　　もてあましぎみ　　　　　　　　　　　　　,C  .  N  ,
元通り　　　　　　　　　　　　　　　　　もとどおり　　　　　　　　　　　　　　　,C  .     ,
盛りだくさん　　　　　　　　　　　　　　もりだくさん　　　　　　　　　　　　　　,C  .  P  ,
やけ　　　　　　　　　　　　　　　　　　やけ　　　　　　　　　　　　　　　　　　,C  .  N  ,
やけくそ　　　　　　　　　　　　　　　　やけくそ　　　　　　　　　　　　　　　　,C  .  N  ,
やけっぱち　　　　　　　　　　　　　　　やけっぱち　　　　　　　　　　　　　　　,C  .  N  ,
やつぎばや　　　　　　　　　　　　　　　やつぎばや　　　　　　　　　　　　　　　,C  .     ,
やまやま　　　　　　　　　　　　　　　　やまやま　　　　　　　　　　　　　　　　,C  .     ,
やんちゃ　　　　　　　　　　　　　　　　やんちゃ　　　　　　　　　　　　　　　　,C  .  N  ,
ゆけゆけ　　　　　　　　　　　　　　　　ゆけゆけ　　　　　　　　　　　　　　　　,C  .  P  ,
油断禁物　　　　　　　　　　　　　　　　ゆだんきんもつ　　　　　　　　　　　　　,C  .  N  ,
油断大敵　　　　　　　　　　　　　　　　ゆだんたいてき　　　　　　　　　　　　　,C  .  N  ,
夢うつつ　　　　　　　　　　　　　　　　ゆめうつつ　　　　　　　　　　　　　　　,C  .     ,
よけい　　　　　　　　　　　　　　　　　よけい　　　　　　　　　　　　　　　　　,C  .     ,程度副詞としても働く
よさげ　　　　　　　　　　　　　　　　　よさげ　　　　　　　　　　　　　　　　　,C  .  P  ,
予想通り　　　　　　　　　　　　　　　　よそうどおり　　　　　　　　　　　　　　,C  .     ,
よっぽど　　　　　　　　　　　　　　　　よっぽど　　　　　　　　　　　　　　　　,C  .     ,程度副詞としても働く
余分　　　　　　　　　　　　　　　　　　よぶん　　　　　　　　　　　　　　　　　,C  .  N  ,
流暢　　　　　　　　　　　　　　　　　　りゅうちょう　　　　　　　　　　　　　　,C  .  P  ,
例によって例のごとし　　　　　　　　　　れいによってれいのごとし　　　　　　　　,C  .     ,
若気の過ち　　　　　　　　　　　　　　　わかげのあやまち　　　　　　　　　　　　,C  .     ,
われ知らず　　　　　　　　　　　　　　　われしらず　　　　　　　　　　　　　　　,C  .     ,
