鳥の巣　　　　　　　　　　　　　　　　　とりのす　　　　　　　　　　　　　　　　,N B.     ,
長年の夢　　　　　　　　　　　　　　　　ながねんのゆめ　　　　　　　　　　　　　,N 1.     ,
菜の花　　　　　　　　　　　　　　　　　なのはな　　　　　　　　　　　　　　　　,N B.     ,
悩みの種　　　　　　　　　　　　　　　　なやみのたね　　　　　　　　　　　　　　,N 1.  N  ,
奈落の底　　　　　　　　　　　　　　　　ならくのそこ　　　　　　　　　　　　　　,N  .  N  ,
猫の額　　　　　　　　　　　　　　　　　ねこのひたい　　　　　　　　　　　　　　,C  .  N  ,
飲み物　　　　　　　　　　　　　　　　　のみもの　　　　　　　　　　　　　　　　,N  .     ,
白亜の殿堂　　　　　　　　　　　　　　　はくあのでんどう　　　　　　　　　　　　,N  .  P  ,
破竹の勢い　　　　　　　　　　　　　　　はちくのいきおい　　　　　　　　　　　　,C  .     ,
蜂の巣　　　　　　　　　　　　　　　　　はちのす　　　　　　　　　　　　　　　　,C  .     ,
話の種　　　　　　　　　　　　　　　　　はなしのたね　　　　　　　　　　　　　　,N 1.  P  ,
鼻の下　　　　　　　　　　　　　　　　　はなのした　　　　　　　　　　　　　　　,N 1.     ,
腹の内　　　　　　　　　　　　　　　　　はらのうち　　　　　　　　　　　　　　　,N  .     ,
腹の底　　　　　　　　　　　　　　　　　はらのそこ　　　　　　　　　　　　　　　,N 1.     ,
腹の虫　　　　　　　　　　　　　　　　　はらのむし　　　　　　　　　　　　　　　,N 4.     ,
万感の思い　　　　　　　　　　　　　　　ばんかんのおもい　　　　　　　　　　　　,N 1.  N  ,
パンドラの箱　　　　　　　　　　　　　　ぱんどらのはこ　　　　　　　　　　　　　,N  .     ,
パンの耳　　　　　　　　　　　　　　　　ぱんのみみ　　　　　　　　　　　　　　　,N  .     ,
秘伝のタレ　　　　　　　　　　　　　　　ひでんのたれ　　　　　　　　　　　　　　,N  .     ,
人の手　　　　　　　　　　　　　　　　　ひとのて　　　　　　　　　　　　　　　　,N  .     ,
人の目　　　　　　　　　　　　　　　　　ひとのめ　　　　　　　　　　　　　　　　,N  .     ,
日の入り　　　　　　　　　　　　　　　　ひのいり　　　　　　　　　　　　　　　　,N  .     ,
火の海　　　　　　　　　　　　　　　　　ひのうみ　　　　　　　　　　　　　　　　,N  .  N  ,
火の車　　　　　　　　　　　　　　　　　ひのくるま　　　　　　　　　　　　　　　,C  .  N  ,
火の粉　　　　　　　　　　　　　　　　　ひのこ　　　　　　　　　　　　　　　　　,N B.  N  ,
火の手　　　　　　　　　　　　　　　　　ひのて　　　　　　　　　　　　　　　　　,N  .  N  ,
日の出　　　　　　　　　　　　　　　　　ひので　　　　　　　　　　　　　　　　　,N  .     ,
日の丸　　　　　　　　　　　　　　　　　ひのまる　　　　　　　　　　　　　　　　,N  .  N  ,
日の目　　　　　　　　　　　　　　　　　ひのめ　　　　　　　　　　　　　　　　　,N  .     ,日の目を見る
日の本　　　　　　　　　　　　　　　　　ひのもと　　　　　　　　　　　　　　　　,N  .  N  ,
火の用心　　　　　　　　　　　　　　　　ひのようじん　　　　　　　　　　　　　　,N  .  P  ,
百薬の長　　　　　　　　　　　　　　　　ひゃくやくのちょう　　　　　　　　　　　,C  .     ,
氷山の一角　　　　　　　　　　　　　　　ひょうざんのいっかく　　　　　　　　　　,C  .     ,
風前の灯火　　　　　　　　　　　　　　　ふうぜんのともしび　　　　　　　　　　　,C  .  N  ,
蕗の薹　　　　　　　　　　　　　　　　　ふきのとう　　　　　　　　　　　　　　　,N B.     ,
不測の事態　　　　　　　　　　　　　　　ふそくのじたい　　　　　　　　　　　　　,C  .  N  ,
不動の物　　　　　　　　　　　　　　　　ふどうのもの　　　　　　　　　　　　　　,N 1.  P  ,
